rank_order,name,location,loc_count
9880,University of Urbino Carlo Bo,Italy,54
9890,Vilnius University,Lithuania,2
9900,VIT University,India,37
9910,University of Warsaw,Poland,5
9920,Wenzhou Medical University,China,64
9930,University of Winchester,United Kingdom,92
9940,University of Wisconsin-Milwaukee,United States of America,160
9950,Worcester Polytechnic Institute,United States of America,160
9960,University of Wyoming,United States of America,160
9970,Yangzhou University,China,64
9980,Yeungnam University,South Korea,18
9990,Zagazig University,Egypt,16
10000,Zewail City of Science and Technology,Egypt,16
